"_id","basisOfRecord","catalogNumber","class","collectionCode","continent","coordinateUncertaintyInMeters","country","datasetID","decimalLatitude","decimalLongitude","dynamicProperties","family","fieldNumber","genus","georeferenceProtocol","habitat","higherClassification","higherGeography","identifiedBy","institutionCode","islandGroup","locality","modified","occurrenceID","occurrenceStatus","order","otherCatalogNumbers","phylum","recordNumber","recordedBy","scientificName","scientificNameAuthorship","specificEpithet","stateProvince","typeStatus","verbatimLatitude","verbatimLongitude"
"4707775","Occurrence","BM000588946","","BOT","North America","234","Jamaica","05ff2255-c38a-40c9-b657-4ccb55ab2feb","18.151419","-77.319014","{""created"": 1190906040000, ""gbifID"": ""1055809343"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": [""Arum esculentum L."", ""Manihot esculenta Crantz"", ""Jatropha manihot L.""], ""determinationFiledAs"": [""Yes"", ""No"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Araceae","s.n","Arum","","","Monocotyledones; Araceae","North America; Jamaica","P Jeffery","NHMUK","West Indies","","1639135815000","2b7bdfd8-d340-49ee-9a17-dac9edf79f1c","present","","NHMUK:ecatalogue:4707775","Monocotyledones","s.n","Hans Sloane","Arum esculentum L.","L.","esculentum","","","18 09 05.11 N","077 19 08.45 W"
"4707544","Occurrence","BM000589870","","BOT","North America","234","Jamaica","05ff2255-c38a-40c9-b657-4ccb55ab2feb","18.151419","-77.319014","{""created"": 1190906011000, ""gbifID"": ""1055656497"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Melochia tomentosa L."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Sterculiaceae","s.n","Melochia","","","Dicotyledones; Malvales; Sterculiaceae","North America; Jamaica","","NHMUK","West Indies","","1639134635000","d13c46c1-c08c-4de7-b43f-7cf249ce06fb","present","Malvales","NHMUK:ecatalogue:4707544","Dicotyledones","s.n","Hans Sloane","Melochia tomentosa L.","L.","tomentosa","","","18 09 05.11 N","077 19 08.45 W"
"4707706","Occurrence","BM000588839","","BOT","North America","234","Jamaica","05ff2255-c38a-40c9-b657-4ccb55ab2feb","18.151419","-77.319014","{""created"": 1190906031000, ""gbifID"": ""1055745843"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""TAXON_MATCH_HIGHERRANK""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": [""Sporobolus jacquemontii Kunth"", ""Sporobolus indicus (L.) R.Br."", ""Agrostis indica L.""], ""determinationFiledAs"": [""Yes"", ""No"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Poaceae","s.n","Sporobolus","","","Poaceae","North America; Jamaica","Charles Dennis Adams","NHMUK","West Indies","","1639135613000","dbae3279-4950-4399-98fa-929a03a6e598","present","","NHMUK:ecatalogue:4707706","","s.n","Hans Sloane","Sporobolus jacquemontii Kunth","Kunth","jacquemontii","","","18 09 05.11 N","077 19 08.45 W"
"4707973","Occurrence","BM000593964","","BOT","North America","234","Jamaica","05ff2255-c38a-40c9-b657-4ccb55ab2feb","18.151419","-77.319014","{""created"": 1190906064000, ""gbifID"": ""1055312490"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": [""Loranthus occidentalis L."", ""Oryctanthus occidentalis (L.) Eichler""], ""determinationFiledAs"": [""Yes"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Loranthaceae","s.n","Loranthus","","","Dicotyledones; Loranthaceae","North America; Jamaica","W Fawcett","NHMUK","West Indies","","1639134471000","d7e0042b-7a1e-44d8-8819-ccf2d41cb16b","present","","NHMUK:ecatalogue:4707973","Dicotyledones","s.n","Hans Sloane","Loranthus occidentalis L.","L.","occidentalis","","","18 09 05.11 N","077 19 08.45 W"
"4708103","Occurrence","BM000594151","","BOT","North America","234","Jamaica","05ff2255-c38a-40c9-b657-4ccb55ab2feb","18.151419","-77.319014","{""created"": 1190906083000, ""gbifID"": ""1055587156"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Annona squamosa L."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Annonaceae","s.n","Annona","","","Magnoliophyta; Magnoliales; Annonaceae","North America; Jamaica","W Fawcett","NHMUK","West Indies","","1639135805000","7e4c489a-bb4a-41a0-bca7-056876cf4a58","present","Magnoliales","NHMUK:ecatalogue:4708103","Magnoliophyta","s.n","Hans Sloane","Annona squamosa L.","L.","squamosa","","","18 09 05.11 N","077 19 08.45 W"
"4707995","Occurrence","BM000594001","","BOT","North America","234","Jamaica","05ff2255-c38a-40c9-b657-4ccb55ab2feb","18.151419","-77.319014","{""created"": 1190906070000, ""gbifID"": ""1056178402"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": [""Rivina octandra L."", ""Trichostigma octandrum (L.) Walter""], ""determinationFiledAs"": [""Yes"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Phytolaccaceae","s.n","Rivina","","","Dicotyledones; Phytolaccaceae","North America; Jamaica","","NHMUK","West Indies","","1639135756000","206f43ec-40ae-4f48-82a2-a44fc030674f","present","","NHMUK:ecatalogue:4707995","Dicotyledones","s.n","Hans Sloane","Rivina octandra L.","L.","octandra","","","18 09 05.11 N","077 19 08.45 W"
"4707275","Occurrence","BM000589508","","BOT","North America","234","Jamaica","05ff2255-c38a-40c9-b657-4ccb55ab2feb","18.151419","-77.319014","{""created"": 1190905976000, ""gbifID"": ""1057457695"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""subDepartment"": ""Historical Collections - AFP"", ""determinationNames"": [""Spermacoce Michx"", ""Spermacoce tenuior L.""], ""determinationFiledAs"": [""Yes"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Rubiaceae","s.n","Spermacoce","","","Rubiaceae","North America; Jamaica","W Fawcett","NHMUK","West Indies","","1639134027000","ed452a5e-4655-42cc-aa15-159e3597ac87","present","","NHMUK:ecatalogue:4707275","","s.n","Hans Sloane","Spermacoce Michx","Michx","","","","18 09 05.11 N","077 19 08.45 W"
"4707302","Occurrence","BM000589545","","BOT","North America","234","Jamaica","05ff2255-c38a-40c9-b657-4ccb55ab2feb","18.151419","-77.319014","{""created"": 1190905979000, ""gbifID"": ""1055648321"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": [""Columnea hirsuta var. fawcettii Urb."", ""Columnea fawcettii (Urb.) C.V.Morton"", ""Columnea hirsuta Sw.""], ""determinationFiledAs"": [""No"", ""Yes"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Gesneriaceae","s.n","Columnea","","","Gesneriaceae","North America; Jamaica","W Fawcett","NHMUK","West Indies","","1639134433000","7c3f9b62-1705-4972-80a1-2bc7f3695b15","present","","NHMUK:ecatalogue:4707302","","s.n","Hans Sloane","Columnea fawcettii (Urb.) C.V.Morton","(Urb.) C.V.Morton","fawcettii","","","18 09 05.11 N","077 19 08.45 W"
"2397981","Occurrence","BM000589572","","BOT","North America","234","Jamaica","05ff2255-c38a-40c9-b657-4ccb55ab2feb","18.151419","-77.319014","{""created"": 1336741882000, ""gbifID"": ""1056372367"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Illustration"", ""determinationNames"": [""Alpinia antillarum Roem. & Schult."", ""Renealmia antillarum (Roem. & Schult.) Gagnep.""], ""determinationFiledAs"": [""Yes"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Zingiberaceae","s.n","Alpinia","","","Zingiberaceae","North America; Jamaica","","NHMUK","West Indies","","1639134663000","1572e2fe-9080-4cc6-9d30-d7a62b79a4ce","present","","NHMUK:ecatalogue:2397981","","s.n","Hans Sloane","Alpinia antillarum Roem. & Schult.","Roem. & Schult.","antillarum","","","18 09 05.11 N","077 19 08.45 W"
"4707321","Occurrence","BM000589575","","BOT","North America","234","Jamaica","05ff2255-c38a-40c9-b657-4ccb55ab2feb","18.151419","-77.319014","{""created"": 1190905981000, ""gbifID"": ""1057452292"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": [""Amomum sylvestre Sw."", ""Renealmia sylvestris (Stokes) Horan.""], ""determinationFiledAs"": [""Yes"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 3}","Zingiberaceae","s.n","Amomum","","","Zingiberaceae","North America; Jamaica","W Fawcett","NHMUK","West Indies","","1639134665000","7ca2989a-8433-4dd7-b83d-58bc473f096f","present","","NHMUK:ecatalogue:4707321","","s.n","Hans Sloane","Amomum sylvestre Sw.","Sw.","sylvestre","","","18 09 05.11 N","077 19 08.45 W"
