"_id","basisOfRecord","catalogNumber","collectionCode","continent","coordinateUncertaintyInMeters","country","datasetID","decimalLatitude","decimalLongitude","dynamicProperties","fieldNumber","higherGeography","institutionCode","islandGroup","locality","modified","occurrenceID","occurrenceStatus","otherCatalogNumbers","scientificName","specificEpithet","stateProvince","typeStatus","verbatimLatitude","verbatimLongitude"
"79372","Occurrence","BM.58061","MIN","South America","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862611000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection TD"", ""identificationAsRegistered"": ""Hematite""}","","South America","NHMUK","","Banks of the Amazon River","1608733970000","e895ec9f-4e45-4588-a82f-ba65f83111f7","present","NHMUK:ecatalogue:79372","Hematite","Hematite","","","",""
"79373","Occurrence","BM.58062","MIN","Europe","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862611000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection TD"", ""identificationAsRegistered"": ""Hematite""}","","Europe","NHMUK","","Sale, Cevennes Mountains, France","1608733970000","781efdd4-d1f1-4bcb-9e8d-d34ceb5d17bd","present","NHMUK:ecatalogue:79373","Hematite","Hematite","","","",""
"221976","Occurrence","BM.60794","MIN","Europe","25.57901841","United Kingdom","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127888615000, ""subDepartment"": ""Petrology"", ""collectionKind"": ""Petrology"", ""donorName"": ""Hans Sloane Collection"", ""identificationAsRegistered"": ""Slatey coal""}","","Europe; United Kingdom; England; Leicestershire","NHMUK","","","1608726243000","5426d7c6-c68b-435b-9993-6edc84a03588","present","NHMUK:ecatalogue:221976","Slatey coal","","England","","",""
"80936","Occurrence","BM.59460","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862836000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Tremolite""}","","","NHMUK","","India","1608732340000","9dba9807-7b2d-4692-bb93-0ec544dcda69","present","NHMUK:ecatalogue:80936","Tremolite","Tremolite","","","",""
"80945","Occurrence","BM.59469","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862837000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Tremolite""}","","","NHMUK","","India","1608733090000","48061a75-1044-47bd-8aec-60b248229ace","present","NHMUK:ecatalogue:80945","Tremolite","Tremolite","","","",""
"80938","Occurrence","BM.59462","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862836000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Tremolite""}","","","NHMUK","","India","1608733072000","d2b60f1c-f804-4a94-918a-10f9f05e2b09","present","NHMUK:ecatalogue:80938","Tremolite","Tremolite","","","",""
"81579","Occurrence","BM.60000c","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862921000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Beryl"", ""identificationDescription"": ""Pale blue pebble; roughly polished. 4.91 gm. = 75.97 grains.""}","","","NHMUK","","India","1608733065000","ea7239b9-516c-4ebd-ae7d-9ee910e46d01","present","NHMUK:ecatalogue:81579","Beryl","Beryl","","","",""
"82643","Occurrence","BM.60956","MIN","Asia","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863063000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. carnelian""}","","Asia","NHMUK","","India","1608731128000","e6065f5d-1420-4cdb-b89e-27d6cf6dceb1","present","NHMUK:ecatalogue:82643","","","","","",""
"80939","Occurrence","BM.59463","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862836000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Tremolite""}","","","NHMUK","","India","1608733085000","c5c6a7b7-ad7b-4ccb-a8c7-6fb4f364e6c7","present","NHMUK:ecatalogue:80939","Tremolite","Tremolite","","","",""
"79990","Occurrence","BM.58599","MIN","Asia","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862699000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. chalcedony""}","","Asia","NHMUK","","India","1608730898000","070904aa-ce82-4f58-a83c-5436c54295a8","present","NHMUK:ecatalogue:79990","","","","","",""
"82659","Occurrence","BM.60967","MIN","Asia","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863065000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. jasper""}","","Asia","NHMUK","","India","1608731569000","de7791a2-da17-4dd0-a8e1-ea88e66ccdc3","present","NHMUK:ecatalogue:82659","","","","","",""
"80141","Occurrence","BM.58703","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862721000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Opal"", ""identificationDescription"": ""Colourless and transparent, native cut.""}","","","NHMUK","","India","1608733131000","c534f8f2-08b6-45c0-ae2f-6977a273601a","present","NHMUK:ecatalogue:80141","Opal","Opal","","","",""
"81578","Occurrence","BM.60000b","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862921000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Gems"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Beryl"", ""identificationDescription"": ""Pale blue; a polished pebble, with two grooves; contains liquid CO2. 2.542 gm. = 39.27 grains.""}","","","NHMUK","","India","1637677752000","1f083110-0b14-4edd-9d9b-d7229acd9d45","present","NHMUK:ecatalogue:81578","Beryl","Beryl","","","",""
"80053","Occurrence","BM.58647b","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862708000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. agate""}","","","NHMUK","","unknown","1623074434000","f470aa88-a78d-4896-9a44-eca8d9e7552a","present","NHMUK:ecatalogue:80053","","","","","",""
"80054","Occurrence","BM.58647","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862708000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. jasper""}","","","NHMUK","","Locality?","1608731269000","845fafe7-22e1-4e11-a4a9-3fd45157c319","present","NHMUK:ecatalogue:80054","","","","","",""
"82564","Occurrence","BM.60892","MIN","Asia","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863052000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. moss agate""}","","Asia","NHMUK","","[India]","1608734032000","788d13a8-ff85-4839-9957-54a8bed12471","present","NHMUK:ecatalogue:82564","","","","","",""
"82702","Occurrence","BM.60988","MIN","Europe","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863072000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. jasper""}","","Europe","NHMUK","","Turkey","1608734033000","b4965541-0f94-4638-b112-e7e32f234c74","present","NHMUK:ecatalogue:82702","","","","","",""
"82593","Occurrence","BM.60921","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127863056000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. agate""}","","","NHMUK","","Bohemia","1608732206000","e11b5fcb-7186-418a-bc4c-385267910357","present","NHMUK:ecatalogue:82593","","","","","",""
"80937","Occurrence","BM.59461","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862836000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Tremolite""}","","","NHMUK","","India","1608733091000","295a43ed-1fb5-4f6f-a500-7cf921e885e1","present","NHMUK:ecatalogue:80937","Tremolite","Tremolite","","","",""
"80108","Occurrence","BM.58674","MIN","Asia","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862716000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. carnelian""}","","Asia","NHMUK","","India","1608730099000","52851e40-a06c-49df-b738-2af5faaeb24b","present","NHMUK:ecatalogue:80108","","","","","",""
"80041","Occurrence","BM.58643","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862707000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. agate""}","","","NHMUK","","India","1608729664000","f77ac324-098d-43fe-ad31-f75bd52309c2","present","NHMUK:ecatalogue:80041","","","","","",""
"80003","Occurrence","BM.58611a","MIN","","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862701000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. jasper""}","","","NHMUK","","India","1608732139000","3c7fda37-2d3d-4d2d-8734-a6deacff2e12","present","NHMUK:ecatalogue:80003","","","","","",""
"80007","Occurrence","BM.58615","MIN","Asia","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1127862702000, ""subDepartment"": ""Minerals"", ""collectionKind"": ""Minerals"", ""donorName"": ""Sir Hans Sloane collection"", ""identificationAsRegistered"": ""Quartz var. plasma""}","","Asia","NHMUK","","India","1608730366000","09b28b8f-6e96-48e2-b4b2-195bb635cb21","present","NHMUK:ecatalogue:80007","","","","","",""
