"_id","basisOfRecord","catalogNumber","class","collectionCode","continent","coordinateUncertaintyInMeters","country","datasetID","dynamicProperties","family","fieldNumber","genus","higherClassification","higherGeography","identifiedBy","institutionCode","modified","occurrenceID","occurrenceStatus","order","otherCatalogNumbers","phylum","recordNumber","recordedBy","scientificName","scientificNameAuthorship","specificEpithet","stateProvince","year"
"4708664","Occurrence","BM000815635","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906170000, ""gbifID"": ""1056819602"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Trachelospermum asiaticum (Siebold & Zucc.) Nakai"", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Apocynaceae","s.n.","Trachelospermum","Apocynaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633529000","2bd38dd1-70c1-4ad1-9d0f-f159d31e3d19","present","","NHMUK:ecatalogue:4708664","","s.n.","Engelbert Kaempfer","Trachelospermum asiaticum (Siebold & Zucc.) Nakai","(Siebold & Zucc.) Nakai","asiaticum","","1691 - 1692"
"4708469","Occurrence","BM000815440","Liliopsida","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906148000, ""gbifID"": ""1057600276"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Acorus gramineus Solander ex Aiton"", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Acoraceae","s.n.","Acorus","Magnoliophyta; Liliopsida; Alismatales; Acoraceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633528000","513d44b9-45cc-4b4e-a1f4-f99c74bedba7","present","Alismatales","NHMUK:ecatalogue:4708469","Magnoliophyta","s.n.","Engelbert Kaempfer","Acorus gramineus Solander ex Aiton","Solander ex Aiton","gramineus","","1691 - 1692"
"4708604","Occurrence","BM000815575","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906163000, ""gbifID"": ""1057297572"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Stachyurus praecox Siebold & Zucc."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Stachyuraceae","s.n.","Stachyurus","Stachyuraceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633517000","ad7af52f-d5ea-44ee-a33f-5f6f9f8d2b09","present","","NHMUK:ecatalogue:4708604","","s.n.","Engelbert Kaempfer","Stachyurus praecox Siebold & Zucc.","Siebold & Zucc.","praecox","","1691 - 1692"
"4708411","Occurrence","BM000815382","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906141000, ""gbifID"": ""1057000298"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Rhododendron kaempferi Planch."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 4}","Ericaceae","s.n.","Rhododendron","Ericaceae","Asia; Japan","A Miyazawa","NHMUK","1619633539000","eb4c0dce-1421-4245-9146-7b32ed0bc95d","present","","NHMUK:ecatalogue:4708411","","s.n.","Engelbert Kaempfer","Rhododendron kaempferi Planch.","Planch.","kaempferi","","1691 - 1692"
"4708406","Occurrence","BM000815377","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906141000, ""gbifID"": ""1056505402"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Aristolochia kaempferi Willd."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Aristolochiaceae","s.n.","Aristolochia","Aristolochiaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633540000","093ce42c-e9db-4ef0-971e-a97dcf61fe8f","present","","NHMUK:ecatalogue:4708406","","s.n.","Engelbert Kaempfer","Aristolochia kaempferi Willd.","Willd.","kaempferi","","1691 - 1692"
"4708416","Occurrence","BM000815387","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906142000, ""gbifID"": ""1056669230"", ""gbifIssue"": [""RECORDED_DATE_INVALID"", ""TAXON_MATCH_NONE""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Indet. indet."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Indet.","s.n.","Indet.","Indet.","Asia; Japan","","NHMUK","1619633531000","acf59c0f-050d-43b3-9f2c-4d0f7cf3144f","present","","NHMUK:ecatalogue:4708416","","s.n.","Engelbert Kaempfer","Indet. indet.","","indet.","","1691 - 1692"
"4708428","Occurrence","BM000815399","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906143000, ""gbifID"": ""1056994435"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Pulsatilla cernua (Thunb.) Bercht. & Opiz."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Ranunculaceae","s.n.","Pulsatilla","Magnoliophyta; Ranunculales; Ranunculaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633506000","6fb29dfd-826c-4d7f-9a94-7e994a223abe","present","Ranunculales","NHMUK:ecatalogue:4708428","Magnoliophyta","s.n.","Engelbert Kaempfer","Pulsatilla cernua (Thunb.) Bercht. & Opiz.","(Thunb.) Bercht. & Opiz.","cernua","","1691 - 1692"
"4708440","Occurrence","BM000815411","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906145000, ""gbifID"": ""1055681634"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Serissa foetida (L.f.) Lam."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Rubiaceae","s.n.","Serissa","Rubiaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633513000","85214f68-380d-432b-b5c8-0ae519d449f0","present","","NHMUK:ecatalogue:4708440","","s.n.","Engelbert Kaempfer","Serissa foetida (L.f.) Lam.","(L.f.) Lam.","foetida","","1691 - 1692"
"4708442","Occurrence","BM000815413","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906145000, ""gbifID"": ""1055480268"", ""gbifIssue"": [""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Saxifraga stolonifera Curtis"", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Saxifragaceae","s.n.","Saxifraga","Saxifragaceae","Asia; Japan","P.-A. Hinz","NHMUK","1619633514000","924545d8-17ab-48e8-bf3c-a8a125c16739","present","","NHMUK:ecatalogue:4708442","","s.n.","Engelbert Kaempfer","Saxifraga stolonifera Curtis","Curtis","stolonifera","","1691 - 1692"
"4708433","Occurrence","BM000815404","","BOT","Asia","344.4563734","Japan","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1190906144000, ""gbifID"": ""1056692552"", ""gbifIssue"": [""RECORDED_DATE_INVALID"", ""TAXON_MATCH_NONE""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Indet. indet."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 2}","Indet.","s.n.","Indet.","Indet.","Asia; Japan","","NHMUK","1619633539000","df2a16b8-b4b4-41d8-97c6-792681c17c00","present","","NHMUK:ecatalogue:4708433","","s.n.","Engelbert Kaempfer","Indet. indet.","","indet.","","1691 - 1692"
