"_id","title","identifier","type","creator","license","rightsHolder","created"
"49727","Zoology Accessions Register: Mollusca: 1938 - 1955: page 102","https://data.nhm.ac.uk/media/bfa12447-3097-4db1-9dcd-91cb5c5b64f9","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1277330740000"
"2112105","Sloane 1443","https://data.nhm.ac.uk/media/cf80fcc1-7fc8-4f23-bced-2677871eba65","StillImage","Harry Taylor NHM photo unit","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1501166485000"
"2112108","Sloane 1443_","https://data.nhm.ac.uk/media/2e1a5758-5bb8-44d6-a3dd-e52ef3113eda","StillImage","Harry Taylor NHM photo unit","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1501166832000"
"844263","Sloane no. 3976, 730","https://data.nhm.ac.uk/media/a859ee45-71f3-4a9e-976a-3eb1dbefaa80","StillImage","Harry Taylor","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1413899497000"
"670314","Zoology Accessions Register: Mollusca: 1998 - 2000: page 105","https://data.nhm.ac.uk/media/52710cc9-6e08-4e2e-a351-93d41a7e7939","StillImage","James Ayre","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1406628857000"
"844260","Sloane no. 2068","https://data.nhm.ac.uk/media/08b6395f-9eae-46c1-adc7-545e8d5964cd","StillImage","Harry Taylor","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1413896438000"
"2768551","20190559, Onchidium oniscoides de Blainville, 1816","https://data.nhm.ac.uk/media/90e7e592-fbd9-4de7-9fd1-827271458192","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1561456392000"
"2768596","20190559, Onchidium oniscoides de Blainville, 1816","https://data.nhm.ac.uk/media/9f4b135e-8de6-43cd-89b2-e3a9a136f87c","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1561456468000"
"49727","Zoology Accessions Register: Mollusca: 1938 - 1955: page 102","https://data.nhm.ac.uk/media/bfa12447-3097-4db1-9dcd-91cb5c5b64f9","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1277330740000"
"844262","Sloane no. 3722_2of2","https://data.nhm.ac.uk/media/4f318dee-c22f-4b4c-be18-178fb907084b","StillImage","Harry Taylor","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1413898094000"
"2112118","Sloane 2815","https://data.nhm.ac.uk/media/96d824b9-d51b-447a-9731-1a7d58ae0497","StillImage","Harry Taylor NHM photo unit","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1501168468000"
"844263","Sloane no. 3976, 730","https://data.nhm.ac.uk/media/a859ee45-71f3-4a9e-976a-3eb1dbefaa80","StillImage","Harry Taylor","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1413899497000"
"844261","Sloane no. 3722_1of2","https://data.nhm.ac.uk/media/294b3e9f-1f53-44fb-a474-95877380f186","StillImage","Harry Taylor","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1413897810000"
"2112117","Sloane 1894","https://data.nhm.ac.uk/media/438f9c90-b8cf-4a88-92d1-07a9fc16cbd0","StillImage","Harry Taylor NHM photo unit","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1501167866000"
"49727","Zoology Accessions Register: Mollusca: 1938 - 1955: page 102","https://data.nhm.ac.uk/media/bfa12447-3097-4db1-9dcd-91cb5c5b64f9","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1277330740000"
"49727","Zoology Accessions Register: Mollusca: 1938 - 1955: page 102","https://data.nhm.ac.uk/media/bfa12447-3097-4db1-9dcd-91cb5c5b64f9","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1277330740000"
"2032214","20160444","https://data.nhm.ac.uk/media/1b1120ee-9980-494c-bf30-739792b964f1","StillImage","Kevin Webb","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1489766224000"
"50058","Zoology Accessions Register: Mollusca: 1956 - 1978: page 161","https://data.nhm.ac.uk/media/08d6986b-7c22-48de-b4ff-00dc515b90cf","StillImage","","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1277333023000"
"2112090","Sloane 748","https://data.nhm.ac.uk/media/748b54d1-604e-41d9-b38d-5d6be70f4794","StillImage","Harry Taylor NHM photo unit","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1501157700000"
"2112091","Sloane 748_","https://data.nhm.ac.uk/media/1529902d-3437-46b7-a2ac-0ab3c3675a17","StillImage","Harry Taylor NHM photo unit","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1501157783000"
"2112092","Sloane 748.P","https://data.nhm.ac.uk/media/75775b73-92d9-406b-91f2-a7b9ac2077dc","StillImage","Harry Taylor NHM photo unit","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1501157920000"
"2112101","Sloane 1182","https://data.nhm.ac.uk/media/afeebc55-5244-438b-ad80-24f8aae5adc6","StillImage","Harry Taylor NHM photo unit","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1501166209000"
"2112114","Sloane 1482","https://data.nhm.ac.uk/media/dff079eb-d8fd-4994-9f71-242b6019db7a","StillImage","Harry Taylor NHM photo unit","http://creativecommons.org/licenses/by/4.0/","The Trustees of the Natural History Museum, London","1501167636000"
