"_id","basisOfRecord","catalogNumber","class","collectionCode","continent","country","datasetID","dynamicProperties","family","genus","higherClassification","higherGeography","individualCount","infraspecificEpithet","institutionCode","kingdom","locality","modified","occurrenceID","occurrenceStatus","order","otherCatalogNumbers","phylum","recordedBy","scientificName","scientificNameAuthorship","specificEpithet","subgenus","typeStatus","year"
"2439608","Occurrence","1952.5.10.2","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1343826567000, ""gbifID"": ""1057201448"", ""barcode"": ""011311535"", ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MO19"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Voluta subnodosa Leach, 1814"", ""associatedMediaCount"": 1}","","Voluta","","","1","","NHMUK","","","1612303636000","0217985b-67bd-4e0c-8510-b5e5551e7a36","present","","NHMUK:ecatalogue:2439608","","","Voluta subnodosa Leach, 1814","Leach, 1814","subnodosa","","HOLOTYPE",""
"8091817","Occurrence","20201099","Gastropoda","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1501166659000, ""gbifID"": ""1826341624"", ""barcode"": ""011478826"", ""subDepartment"": ""LS Mollusca"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Astraea sp."", ""associatedMediaCount"": 2}","Turbinidae","Astraea","Animalia; Mollusca; Gastropoda; Turbinidae","","3","","NHMUK","Animalia","","1612303637000","a3ae54e1-456c-4345-b316-10a04efcab7f","present","","NHMUK:ecatalogue:8091817","Mollusca","Mark Catesby","Astraea sp.","","sp.","","",""
"9267011","Occurrence","20201090","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611669707000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Arca granosa Linnaeus, 1758""}","","Arca","","","1","","NHMUK","","","1612297264000","033d2201-2012-431d-9f97-3e38c7542721","present","","NHMUK:ecatalogue:9267011","","","Arca granosa Linnaeus, 1758","Linnaeus, 1758","granosa","","",""
"9267014","Occurrence","20201093","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611670491000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Tridacna crocea Lamarck, 1819""}","","Tridacna","Mollusca","","1","","NHMUK","","","1612297264000","963bc945-4170-43df-8305-f51f8b6498fc","present","","NHMUK:ecatalogue:9267014","Mollusca","","Tridacna crocea Lamarck, 1819","Lamarck, 1819","crocea","","",""
"9267015","Occurrence","20201094","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611670510000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Tridacna squamosa Lamarck, 1819""}","","Tridacna","Mollusca","","1","","NHMUK","","","1612297264000","da91c36a-4d93-425a-9ff6-8da62f87b758","present","","NHMUK:ecatalogue:9267015","Mollusca","","Tridacna squamosa Lamarck, 1819","Lamarck, 1819","squamosa","","",""
"9267016","Occurrence","20201095","Bivalvia","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611670523000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Venus castrensis Linnaeus, 1758""}","","Venus","Animalia; Mollusca; Bivalvia","","1","","NHMUK","Animalia","","1612297264000","d4fb2b02-862d-4b2f-bfb9-a8772d74ef0a","present","","NHMUK:ecatalogue:9267016","Mollusca","","Venus castrensis Linnaeus, 1758","Linnaeus, 1758","castrensis","","",""
"9267020","Occurrence","20201100","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611670644000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Astraea sp.""}","","Astraea","Animalia; Anthozoa","","2","","NHMUK","Animalia","","1612303637000","4af3b3fe-1e06-45b5-bc53-133adc382bfc","present","","NHMUK:ecatalogue:9267020","Anthozoa","","Astraea sp.","","sp.","","",""
"9267021","Occurrence","20201101","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611670680000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Astraea sp.""}","","Astraea","Animalia; Anthozoa","","3","","NHMUK","Animalia","","1612303637000","6907c9f7-2cc0-4f9e-9e15-b390c4c49c66","present","","NHMUK:ecatalogue:9267021","Anthozoa","","Astraea sp.","","sp.","","",""
"9267023","Occurrence","20201103","","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611670718000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Voluta vespertilio Linnaeus, 1758""}","","Voluta","","","1","","NHMUK","","","1612303638000","dddb340c-a330-437e-bcaa-ca63230cc0d9","present","","NHMUK:ecatalogue:9267023","","","Voluta vespertilio Linnaeus, 1758","Linnaeus, 1758","vespertilio","","",""
"9267031","Occurrence","20201111","Gastropoda","ZOO","","","05ff2255-c38a-40c9-b657-4ccb55ab2feb","{""created"": 1611670840000, ""subDepartment"": ""LS Mollusca"", ""registrationCode"": ""MOEA"", ""kindOfObject"": ""Shell only"", ""kindOfCollection"": ""dry"", ""donorName"": ""Sloane Museum"", ""determinationNames"": ""Tonna sp.""}","Tonnidae","Tonna","Mollusca; Gastropoda; Tonnidae","","1","","NHMUK","","","1612303638000","af11ad90-4a25-4a28-abac-50d8ded8a560","present","","NHMUK:ecatalogue:9267031","Mollusca","","Tonna sp.","","sp.","","",""
