"_id","basisOfRecord","catalogNumber","class","collectionCode","continent","coordinateUncertaintyInMeters","country","datasetID","decimalLatitude","decimalLongitude","dynamicProperties","family","fieldNumber","genus","higherClassification","higherGeography","identifiedBy","infraspecificEpithet","institutionCode","modified","occurrenceID","occurrenceStatus","order","otherCatalogNumbers","phylum","recordNumber","recordedBy","scientificName","scientificNameAuthorship","specificEpithet","verbatimLatitude","verbatimLongitude","year"
"2738103","Occurrence","BM001107540","Liliopsida","BOT","North America","1736.780148","United States","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1369831767000, ""gbifID"": ""1056497278"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""RECORDED_DATE_INVALID"", ""TAXON_MATCH_HIGHERRANK""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Poaceae Barnhart"", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Poaceae","s.n.","","Magnoliophyta; Liliopsida; Poales; Poaceae","North America; United States","","","NHMUK","1639139130000","a0297e66-c822-40b1-a085-9163239680b8","present","Poales","NHMUK:ecatalogue:2738103","Magnoliophyta","s.n.","Mark Catesby","Poaceae Barnhart","Barnhart","","","","1722 - 1725"
"2738100","Occurrence","BM001107538","Liliopsida","BOT","North America","1736.780148","United States","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1369831564000, ""gbifID"": ""1056662138"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Carex L."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Cyperaceae","s.n.","Carex","Magnoliophyta; Liliopsida; Poales; Cyperaceae","North America; United States","","","NHMUK","1639139128000","2b8c8c13-223f-44ec-98c5-404fa5817e61","present","Poales","NHMUK:ecatalogue:2738100","Magnoliophyta","s.n.","Mark Catesby","Carex L.","L.","","","","1722 - 1725"
"2738112","Occurrence","BM001107544","","BOT","North America","1736.780148","United States","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1369832195000, ""gbifID"": ""1056369163"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Berchemia scandens (Hill) K.Koch"", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Rhamnaceae","s.n.","Berchemia","Rosales; Rhamnaceae","North America; United States","","","NHMUK","1639139129000","a6a73f8b-a9a7-4f78-97d0-6c487c588d22","present","Rosales","NHMUK:ecatalogue:2738112","","s.n.","Mark Catesby","Berchemia scandens (Hill) K.Koch","(Hill) K.Koch","scandens","","","1722 - 1725"
"2738093","Occurrence","BM001107534","","BOT","North America","1736.780148","United States","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1369830938000, ""gbifID"": ""1057640471"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Nasturtium officinale R.Br."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Brassicaceae","s.n.","Nasturtium","Brassicaceae","North America; United States","","","NHMUK","1639139129000","7aa793a0-775c-41b5-a2b4-709b0891b241","present","","NHMUK:ecatalogue:2738093","","s.n.","Mark Catesby","Nasturtium officinale R.Br.","R.Br.","officinale","","","1722 - 1725"
"2733076","Occurrence","BM001046731","","BOT","North America","1736.780148","United States","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1368546341000, ""gbifID"": ""1056144485"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": [""Asclepias viridiflora Raf."", ""Asclepias nivea L.""], ""determinationFiledAs"": [""Yes"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Apocynaceae","s.n.","Asclepias","Apocynaceae","North America; United States","Daniel Carl Solander","","NHMUK","1639139140000","ab1ef864-06cf-4d36-bcd0-c0d05a38d191","present","","NHMUK:ecatalogue:2733076","","s.n.","Mark Catesby","Asclepias viridiflora Raf.","Raf.","viridiflora","","","1722 - 1725"
"2738201","Occurrence","BM001047129","","BOT","North America","1736.780148","United States","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1369844048000, ""gbifID"": ""1057584617"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": [""Taxodium ascendens Brongn."", ""Taxodium distichum (L.) Rich.""], ""determinationFiledAs"": [""Yes"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Cupressaceae","s.n.","Taxodium","Cupressales; Cupressaceae","North America; United States","Glyn Church","","NHMUK","1639138666000","652d32c4-1b36-45cc-bef2-67b54ba066f4","present","Cupressales","NHMUK:ecatalogue:2738201","","s.n.","Mark Catesby","Taxodium ascendens Brongn.","Brongn.","ascendens","","","1722 - 1725"
"2738141","Occurrence","BM001047103","","BOT","North America","1736.780148","United States","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1369835027000, ""gbifID"": ""1056801646"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": [""Pontederia cordata var. cordata L."", ""Pontederia cordata L.""], ""determinationFiledAs"": [""Yes"", ""No""], ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Pontederiaceae","s.n.","Pontederia","Pontederiaceae","North America; United States","Daniel Carl Solander","","NHMUK","1639138656000","83f2d266-0ade-4ae5-8ceb-cc60a668afdc","present","","NHMUK:ecatalogue:2738141","","s.n.","Mark Catesby","Pontederia cordata var. cordata L.","L.","cordata","","","1722 - 1725"
"2737990","Occurrence","BM001047082","","BOT","North America","1736.780148","United States","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1369818753000, ""gbifID"": ""1057239992"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Populus heterophylla L."", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Salicaceae","s.n.","Populus","Malpighiales; Salicaceae","North America; United States","","","NHMUK","1640089319000","3babe40f-6edd-4542-a7ab-a7f605b3e8b7","present","Malpighiales","NHMUK:ecatalogue:2737990","","s.n.","Mark Catesby","Populus heterophylla L.","L.","heterophylla","","","1722 - 1725"
"2735242","Occurrence","BM001047073","","BOT","North America","1736.780148","United States","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1369408283000, ""gbifID"": ""1057026037"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Coreopsis major var. major Walter"", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Asteraceae","s.n.","Coreopsis","Asterales; Asteraceae","North America; United States","","","NHMUK","1639138898000","574001e4-d682-47e7-9059-48d77c97d8ab","present","Asterales","NHMUK:ecatalogue:2735242","","s.n.","Mark Catesby","Coreopsis major var. major Walter","Walter","major","","","1722 - 1725"
"2733953","Occurrence","BM001046939","","BOT","North America","1736.780148","United States","05ff2255-c38a-40c9-b657-4ccb55ab2feb","","","{""created"": 1369142497000, ""gbifID"": ""1055971310"", ""gbifIssue"": [""GEODETIC_DATUM_ASSUMED_WGS84"", ""RECORDED_DATE_INVALID""], ""subDepartment"": ""Historical Collections - AFP"", ""collectionKind"": ""Sheet"", ""determinationNames"": ""Smilax pumila Walter"", ""determinationFiledAs"": ""Yes"", ""project"": ""GPI Georeferencing"", ""associatedMediaCount"": 1}","Smilacaceae","s.n.","Smilax","Smilacaceae","North America; United States","","","NHMUK","1639139040000","6e65e009-4c6d-4b54-b743-18162738c9ff","present","","NHMUK:ecatalogue:2733953","","s.n.","Mark Catesby","Smilax pumila Walter","Walter","pumila","","","1722 - 1725"
